time_s,temperature_K,density_kg_per_m3,Y_WOOD,Y_CHAR,Y_TAR,Y_O2,Y_N2,Y_H2O,Y_H2O_L,Y_CO,Y_CO2,Y_H2,Y_CH4
5,824.630829,0.449262561,0.150151017,5.13252615e-06,0,0.189363957,0.633957597,0.0265074692,5.79279789e-45,7.09282089e-06,4.87565692e-06,3.19059378e-07,2.5390244e-06
10,824.752108,0.449178082,0.150125302,1.02757338e-05,0,0.189363957,0.633957597,0.0265131835,7.34763597e-54,1.42003388e-05,9.76156189e-06,6.38774653e-07,5.08326973e-06
15,824.873629,0.44909346,0.150099534,1.54296549e-05,0,0.189363956,0.633957597,0.0265189099,-5.8336673e-66,2.13225767e-05,1.4657779e-05,9.59144004e-07,7.63272465e-06
20,824.995393,0.449008692,0.150073712,2.05943297e-05,0,0.189363954,0.633957597,0.0265246485,-3.38254202e-72,2.84595497e-05,1.95644107e-05,1.28016259e-06,1.01873569e-05
25,825.117407,0.448923778,0.150047835,2.57697988e-05,0,0.189363951,0.633957597,0.0265303996,-8.41427709e-76,3.56112379e-05,2.44816162e-05,1.60181888e-06,1.27470872e-05
30,825.239679,0.448838711,0.150021905,3.09561036e-05,0,0.189363946,0.633957597,0.0265361636,3.06445446e-85,4.27775537e-05,2.94096659e-05,1.92408813e-06,1.53117424e-05
35,825.362223,0.448753484,0.14999592,3.61532868e-05,0,0.189363938,0.633957597,0.0265419413,-7.14133491e-85,4.99582703e-05,3.43490582e-05,2.24691797e-06,1.78809541e-05
40,825.485076,0.448668079,0.149969881,4.13613934e-05,0,0.189363923,0.633957597,0.0265477347,-1.67438232e-90,5.71528591e-05,3.93007924e-05,2.57019471e-06,2.04539192e-05
45,825.608311,0.448582457,0.149943787,4.65804736e-05,0,0.189363893,0.633957597,0.0265535479,-8.21766287e-95,6.43600893e-05,4.42670557e-05,2.89365794e-06,2.30287959e-05
50,825.732112,0.448496521,0.149917637,5.18105895e-05,0,0.189363832,0.633957597,0.026559391,-3.1234059e-96,7.15770186e-05,4.92530492e-05,3.21667253e-06,2.56010895e-05
55,825.856957,0.448410021,0.149891432,5.70518333e-05,0,0.189363695,0.633957597,0.0265652903,1.9476493e-99,7.87965951e-05,5.42719035e-05,3.53761436e-06,2.81593115e-05
60,825.984065,0.448322315,0.149865171,6.23043746e-05,0,0.189363371,0.633957597,0.0265713137,2.80203421e-115,8.6003865e-05,5.93563679e-05,3.85242252e-06,3.06747708e-05
65,826.116147,0.448231971,0.149838851,6.75685694e-05,0,0.189362627,0.633957597,0.0265776145,-3.94155749e-126,9.31804345e-05,6.45760103e-05,4.15257292e-06,3.30873483e-05
70,826.257521,0.448136689,0.14981247,7.28451245e-05,0,0.18936111,0.633957597,0.0265844443,-2.45048927e-138,0.000100344328,7.00339063e-05,4.42597066e-06,3.53118425e-05
75,826.412517,0.44803413,0.149786021,7.81351908e-05,0,0.189358494,0.633957597,0.0265920684,9.65027231e-148,0.000107600309,7.5821869e-05,4.66321677e-06,3.72818171e-05
80,826.583808,0.447922819,0.149759496,8.34402774e-05,0,0.189354603,0.633957597,0.026600661,-1.18405242e-157,0.000115098738,8.19894946e-05,4.86147714e-06,3.8976361e-05
85,826.772226,0.447802277,0.149732889,8.87620731e-05,0,0.189349406,0.633957597,0.0266102813,-1.87571233e-157,0.000122940867,8.85563922e-05,5.02234159e-06,4.04050037e-05
90,826.977202,0.4476728,0.149706189,9.41022892e-05,0,0.189342971,0.633957597,0.0266208931,-2.17891028e-157,0.00013114201,9.55273907e-05,5.1493765e-06,4.15908358e-05
95,827.197221,0.447535212,0.149679389,9.94625445e-05,0,0.189335427,0.633957597,0.0266323947,1.43015256e-164,0.000139653153,0.000102896991,5.24716967e-06,4.25641471e-05
100,827.430315,0.447390586,0.149652481,0.000104844296,0,0.189326933,0.633957597,0.0266446535,3.43618118e-169,0.000148398471,0.000110651844,5.32073516e-06,4.33585028e-05
105,827.674513,0.447239999,0.14962546,0.000110248816,0,0.189317644,0.633957597,0.0266575368,-8.32308472e-174,0.000157303595,0.000118775067,5.37486975e-06,4.40063446e-05
110,827.928136,0.447084367,0.149598319,0.000115677206,0,0.18930769,0.633957597,0.0266709315,1.08521713e-174,0.00016630851,0.000127250825,5.41365879e-06,4.4535509e-05
115,828.189902,0.446924389,0.149571054,0.000121130429,0,0.18929717,0.633957597,0.026684751,-8.2983436e-177,0.000175369336,0.000136067283,5.44028109e-06,4.49677693e-05
120,828.458901,0.446760563,0.149543661,0.00012660935,0,0.189286156,0.633957597,0.0266989328,-4.31277705e-176,0.000184455173,0.000145217531,5.45706475e-06,4.5319127e-05
125,828.734518,0.446593225,0.149516135,0.000132114767,0,0.189274697,0.633957597,0.0267134337,-4.70011886e-178,0.000193544077,0.000154699162,5.46566367e-06,4.56009722e-05
130,829.016346,0.446422602,0.149488473,0.000137647434,0,0.189262825,0.633957597,0.0267282236,-3.09131437e-186,0.000202619797,0.000164513285,5.46725059e-06,4.5821391e-05
135,829.304116,0.446248843,0.149460671,0.000143208081,0,0.189250564,0.633957597,0.0267432816,1.07846547e-186,0.000211669559,0.000174663501,5.46267683e-06,4.59862618e-05
140,829.597648,0.44607205,0.149432726,0.000148797425,0,0.189237929,0.633957597,0.0267585921,1.21810652e-187,0.000220682677,0.000185155071,5.45258708e-06,4.61000501e-05
145,829.896819,0.445892296,0.149404633,0.000154416172,0,0.189224933,0.633957597,0.0267741433,2.39490499e-186,0.000229649743,0.000195994312,5.43749496e-06,4.61663352e-05
