time_s,temperature_K,density_kg_per_m3,Y_WOOD,Y_CHAR,Y_TAR,Y_O2,Y_N2,Y_H2O,Y_H2O_L,Y_CO,Y_CO2,Y_H2,Y_CH4
5,813.239049,0.449662899,0.158988669,4.38645254e-06,0,4.86091354e-36,0.823321555,0.017672718,2.82404987e-22,6.06182779e-06,4.16687089e-06,2.72684864e-07,2.16998178e-06
10,813.343824,0.449589427,0.158966697,8.78107403e-06,0,7.33027104e-27,0.823321555,0.0176776005,1.0458192e-26,1.21349447e-05,8.34150176e-06,5.4587755e-07,4.34400475e-06
15,813.448784,0.449515845,0.158944684,1.3183887e-05,0,5.25584751e-26,0.823321555,0.0176824921,-4.78007925e-32,1.82193816e-05,1.25239142e-05,8.19579466e-07,6.52208004e-06
20,813.553929,0.449442151,0.15892263,1.75949188e-05,0,9.56460053e-25,0.823321555,0.0176873928,-1.85223356e-39,2.43151766e-05,1.67141338e-05,1.0937923e-06,8.7042212e-06
25,813.65926,0.449368345,0.158900535,2.2014197e-05,0,1.45903667e-24,0.823321555,0.0176923027,-7.92281367e-40,3.04223677e-05,2.09121871e-05,1.36851778e-06,1.08904419e-05
30,813.764778,0.449294427,0.158878398,2.64417493e-05,0,1.54957683e-24,0.823321555,0.0176972218,4.26799508e-46,3.65409929e-05,2.51181003e-05,1.64375762e-06,1.30807557e-05
35,813.870483,0.449220397,0.15885622,3.08776031e-05,0,1.57217424e-24,0.823321555,0.0177021501,8.48023403e-50,4.26710905e-05,2.93318995e-05,1.91951353e-06,1.52751764e-05
40,813.976376,0.449146254,0.158834,3.53217865e-05,0,1.62288023e-24,0.823321555,0.0177070877,3.24130095e-50,4.8812699e-05,3.35536113e-05,2.19578724e-06,1.74737176e-05
45,814.082457,0.449071998,0.158811738,3.97743273e-05,0,1.66327088e-24,0.823321555,0.0177120345,1.80200289e-56,5.49658571e-05,3.77832621e-05,2.4725805e-06,1.96763933e-05
50,814.188727,0.448997628,0.158789435,4.42352538e-05,0,1.67594729e-24,0.823321555,0.0177169907,1.17006565e-58,6.11306036e-05,4.20208788e-05,2.74989505e-06,2.18832174e-05
55,814.295187,0.448923145,0.158767089,4.87045939e-05,0,1.68476578e-24,0.823321555,0.0177219562,1.36576772e-59,6.73069772e-05,4.6266488e-05,3.02773264e-06,2.40942037e-05
60,814.401837,0.448848548,0.158744701,5.31823762e-05,0,1.75849787e-24,0.823321555,0.0177269311,-2.79458167e-61,7.34950178e-05,5.05201168e-05,3.30609504e-06,2.63093665e-05
65,814.508677,0.448773836,0.158722271,5.76686295e-05,0,1.7842695e-24,0.823321555,0.0177319154,-2.2919875e-61,7.96947645e-05,5.47817925e-05,3.58498404e-06,2.85287198e-05
70,814.61571,0.44869901,0.158699798,6.21633823e-05,0,1.7656581e-24,0.823321555,0.0177369092,-8.51908517e-63,8.5906257e-05,5.90515422e-05,3.86440141e-06,3.07522778e-05
75,814.722934,0.448624068,0.158677283,6.66666635e-05,0,1.71557954e-24,0.823321555,0.0177419124,-3.24790785e-64,9.21295353e-05,6.33293934e-05,4.14434896e-06,3.29800548e-05
