time_s,temperature_K,density_kg_per_m3,Y_WOOD,Y_CHAR,Y_TAR,Y_O2,Y_N2,Y_H2O,Y_H2O_L,Y_CO,Y_CO2,Y_H2,Y_CH4
5,830.045829,0.452704882,0.158980583,6.00381061e-06,0,0.189363957,0.633957597,0.0176745149,8.96860033e-49,8.29687501e-06,5.70334371e-06,3.73221507e-07,2.9700368e-06
10,830.189867,0.452604314,0.158950492,1.20223327e-05,0,0.189363956,0.633957597,0.0176812019,1.21572263e-54,1.6613988e-05,1.14208084e-05,7.473455e-07,5.94725551e-06
15,830.334244,0.452503544,0.158920327,1.80556243e-05,0,0.189363955,0.633957597,0.0176879054,-1.52946364e-64,2.49513837e-05,1.71525055e-05,1.12236906e-06,8.93163712e-06
20,830.478964,0.45240257,0.158890088,2.4103751e-05,0,0.189363952,0.633957597,0.0176946259,-1.67729896e-68,3.33090767e-05,2.28986182e-05,1.49828201e-06,1.19231105e-05
25,830.624039,0.452301386,0.158859774,3.01667792e-05,0,0.189363947,0.633957597,0.0177013639,3.76430906e-77,4.16869972e-05,2.86594667e-05,1.87505752e-06,1.49214842e-05
30,830.769488,0.452199983,0.158829385,3.62447772e-05,0,0.189363938,0.633957597,0.0177081205,-1.20461676e-78,5.00848842e-05,3.44356858e-05,2.25262984e-06,1.79262849e-05
35,830.915363,0.452098332,0.158798921,4.23378174e-05,0,0.18936392,0.633957597,0.0177148984,2.52100424e-88,5.85019909e-05,4.02287141e-05,2.63083228e-06,2.09363077e-05
40,831.061799,0.451996363,0.158768382,4.84459819e-05,0,0.189363879,0.633957597,0.017721705,-2.17910721e-89,6.69361879e-05,4.60423336e-05,3.00920078e-06,2.39481927e-05
45,831.209225,0.45189385,0.158737766,5.45693815e-05,0,0.189363775,0.633957597,0.0177285636,-8.20002435e-99,7.53810128e-05,5.18880833e-05,3.38627919e-06,2.69513988e-05
50,831.359122,0.451790016,0.158707074,6.07082224e-05,0,0.189363471,0.633957597,0.0177355551,-1.09203428e-103,8.38172034e-05,5.78045342e-05,3.75715269e-06,2.99104108e-05
55,831.516049,0.451682451,0.158676301,6.6863027e-05,0,0.189362572,0.633957597,0.0177429326,7.37521709e-122,9.22096085e-05,6.39051702e-05,4.10750904e-06,3.2722205e-05
60,831.688776,0.451566478,0.158645442,7.3035086e-05,0,0.189360369,0.633957597,0.0177511996,6.06709011e-131,0.000100599562,7.03911494e-05,4.41331574e-06,3.52147128e-05
65,831.885351,0.451437722,0.158614485,7.92267142e-05,0,0.189356286,0.633957597,0.0177608488,4.66779364e-140,0.000109233953,7.74225377e-05,4.65923949e-06,3.72785034e-05
70,832.108821,0.451294462,0.158583416,8.54408811e-05,0,0.189350166,0.633957597,0.0177720869,-3.03395037e-142,0.00011837571,8.50550324e-05,4.84584471e-06,3.89162305e-05
75,832.3582,0.451137199,0.158552218,9.16806824e-05,0,0.189342135,0.633957597,0.0177848575,3.86895178e-152,0.000128086737,9.3295124e-05,4.98043439e-06,4.01769942e-05
80,832.630183,0.450967728,0.158520878,9.79489859e-05,0,0.189332473,0.633957597,0.0177989439,1.22746448e-151,0.000138261963,0.000102126432,5.07245269e-06,4.11247179e-05
85,832.920666,0.450788294,0.158489384,0.000104248253,0,0.189321498,0.633957597,0.0178140748,-2.3759285e-153,0.000148744871,0.000111517713,5.13175515e-06,4.18267718e-05
90,833.225952,0.450600916,0.158457724,0.000110580517,0,0.189309494,0.633957597,0.0178300059,9.04365674e-157,0.000159400937,0.000121434962,5.16697405e-06,4.23427035e-05
95,833.543302,0.45040709,0.15842589,0.000116947464,0,0.189296667,0.633957597,0.0178465554,2.25964688e-157,0.000170136898,0.00013185192,5.18460496e-06,4.27176431e-05
100,833.870924,0.450207796,0.158393876,0.000123350539,0,0.189283154,0.633957597,0.0178636028,-7.84959629e-170,0.000180893142,0.000142753911,5.18905162e-06,4.29823548e-05
105,834.207722,0.450003637,0.158361675,0.00012979104,0,0.18926904,0.633957597,0.0178810721,-4.25146964e-170,0.000191631196,0.000154136592,5.18315485e-06,4.31567734e-05
110,834.553043,0.449794974,0.158329281,0.000136270184,0,0.189254378,0.633957597,0.0178989155,-3.89400597e-169,0.0002023244,0.000166002949,5.16875386e-06,4.32538671e-05
115,834.906495,0.449582028,0.158296688,0.000142789142,0,0.189239202,0.633957597,0.0179171017,-1.87002078e-169,0.000212952393,0.000178360517,5.1470996e-06,4.32825194e-05
120,835.26783,0.449364943,0.15826389,0.000149349064,0,0.189223533,0.633957597,0.0179356083,-1.98999291e-170,0.000223498203,0.000191219422,5.11911078e-06,4.3249328e-05
125,835.636882,0.449143816,0.158230881,0.000155951093,0,0.189207389,0.633957597,0.0179544183,1.20159217e-171,0.000233946779,0.000204591174,5.08551764e-06,4.31596208e-05
130,836.013532,0.448918723,0.158197656,0.000162596372,0,0.189190783,0.633957597,0.0179735176,1.68047216e-172,0.000244284263,0.000218487982,5.0469386e-06,4.30179975e-05
135,836.397687,0.448689721,0.15816421,0.000169286043,0,0.189173726,0.633957597,0.0179928943,2.79243996e-173,0.000254497623,0.000232922393,5.00391988e-06,4.28286083e-05
140,836.78928,0.448456857,0.158130535,0.00017602126,0,0.189156227,0.633957597,0.0180125377,1.56356624e-173,0.000264574465,0.000247907099,4.95695599e-06,4.2595296e-05
145,837.188253,0.448220172,0.158096627,0.000182803184,0,0.189138296,0.633957597,0.0180324381,4.57438269e-173,0.000274502928,0.000263454842,4.90650064e-06,4.23216696e-05
150,837.594564,0.447979697,0.15806248,0.000189632985,0,0.189119939,0.633957597,0.0180525868,-8.9328931e-173,0.000284271617,0.00027957836,4.85297303e-06,4.20111435e-05
155,838.00818,0.44773546,0.158028087,0.00019651185,0,0.189101163,0.633957597,0.0180729758,-3.11835807e-173,0.000293869572,0.000296290361,4.79676169e-06,4.1666961e-05
160,838.429078,0.447487483,0.157993443,0.000203440976,0,0.189081974,0.633957597,0.018093598,1.47961254e-172,0.00030328624,0.000313603499,4.73822724e-06,4.12922085e-05
165,838.857245,0.447235783,0.157958541,0.000210421578,0,0.189062378,0.633957597,0.0181144466,-6.47719177e-172,0.00031251146,0.000331530364,4.67770451e-06,4.08898262e-05
170,839.292674,0.446980374,0.157923376,0.000217454889,0,0.189042378,0.633957597,0.0181355157,-2.8143661e-174,0.000321535458,0.000350083459,4.61550427e-06,4.04626154e-05
175,839.735366,0.446721265,0.157887942,0.000224542159,0,0.189021979,0.633957597,0.0181567998,-2.16959647e-178,0.000330348839,0.000369275192,4.55191473e-06,4.00132448e-05
180,840.185331,0.446458461,0.157852231,0.00023168466,0,0.189001185,0.633957597,0.0181782942,-5.66297449e-181,0.000338942592,0.000389117853,4.48720285e-06,3.95442554e-05
185,840.642583,0.446191964,0.157816237,0.000238883683,0,0.188979997,0.633957597,0.0181999945,1.84839753e-179,0.000347308088,0.000409623606,4.42161572e-06,3.90580655e-05
190,841.107146,0.445921774,0.157779955,0.000246140545,0,0.188958419,0.633957597,0.0182218968,3.28341482e-180,0.000355437088,0.000430804463,4.35538165e-06,3.85569746e-05
195,841.579046,0.445647886,0.157743376,0.000253456584,0,0.188936453,0.633957597,0.018243998,5.53758918e-180,0.000363321759,0.000452672273,4.28871071e-06,3.80431628e-05
200,842.058317,0.445370292,0.157706495,0.000260833168,0,0.188914099,0.633957597,0.0182662951,5.79205204e-180,0.000370954676,0.000475238696,4.22179616e-06,3.75186972e-05
205,842.545,0.445088982,0.157669304,0.000268271689,0,0.18889136,0.633957597,0.018288786,-3.23684982e-179,0.00037832883,0.000498515194,4.15481519e-06,3.69855325e-05
210,843.039139,0.444803944,0.157631796,0.000275773569,0,0.188868234,0.633957597,0.0183114687,-7.99539562e-179,0.000385437646,0.000522513006,4.08792966e-06,3.64455128e-05
215,843.540783,0.444515162,0.157593965,0.000283340258,0,0.188844723,0.633957597,0.0183343419,9.32615498e-179,0.000392274991,0.000547243134,4.02128689e-06,3.59003736e-05
220,844.049988,0.444222618,0.157555802,0.00029097324,0,0.188820827,0.633957597,0.0183574047,-1.59083107e-181,0.000398835188,0.000572716324,3.95502042e-06,3.5351743e-05
225,844.566813,0.443926292,0.157517299,0.000298674032,0,0.188796544,0.633957597,0.0183806566,-5.73648156e-178,0.000405113025,0.000598943047,3.88925065e-06,3.48011433e-05
230,845.091322,0.443626161,0.15747845,0.000306444183,0,0.188771874,0.633957597,0.0184040977,3.97552824e-178,0.00041110377,0.000625933492,3.82408545e-06,3.42499917e-05
235,845.623583,0.443322201,0.157439247,0.00031428528,0,0.188746815,0.633957597,0.0184277284,-1.49277912e-178,0.000416803178,0.000653697541,3.75962087e-06,3.36996029e-05
240,846.163669,0.443014386,0.15739968,0.000322198948,0,0.188721366,0.633957597,0.0184515496,8.50064385e-179,0.000422207503,0.000682244764,3.69594167e-06,3.31511894e-05
245,846.711657,0.442702687,0.157359742,0.000330186848,0,0.188695524,0.633957597,0.0184755627,-5.07488194e-178,0.000427313503,0.000711584407,3.63312193e-06,3.26058638e-05
250,847.267627,0.442387073,0.157319425,0.000338250686,0,0.188669287,0.633957597,0.0184997694,-6.98901089e-179,0.000432118454,0.000741725379,3.57122565e-06,3.20646401e-05
255,847.831664,0.442067513,0.157278719,0.000346392206,0,0.188642653,0.633957597,0.0185241719,1.43243639e-179,0.000436620148,0.000772676245,3.51030734e-06,3.15284367e-05
260,848.403856,0.441743972,0.157237616,0.0003546132,0,0.188615618,0.633957597,0.018548773,9.20321962e-179,0.000440816901,0.000804445226,3.45041247e-06,3.09980772e-05
265,848.984294,0.441416415,0.157196107,0.000362915503,0,0.18858818,0.633957597,0.0185735755,1.20003666e-179,0.000444707556,0.000837040192,3.39157815e-06,3.04742941e-05
